company,invoice_num,invoice_date,operation_date,amount,reporter,notes,status,kind
Wesoła Gżegżółka,W26401,11/01/2013,10/26/2013,13730.21,Lucas Fritsch II,"Beatae quia a molestiae quo doloribus enim et.
Provident dolorem odio rerum et ad magni.
Aut et et voluptatem ratione.
Veniam animi atque sit et.",other,negligible;important;client;other
 KT Koty,K37482,2014-06-20,2014-06-12,10573.50,Etha Witting,Aut qui architecto atque minus sunt.,rejected,""
 Comcast,C52947,12/31/2014,12/23/2014,15904.36,Sofia Corwin,"Quos qui nisi nostrum quam cum commodi.
Omnis accusantium magnam.",other,Important;client;Delegation;other
 SB Komputery,S61794,20-11-2012,19-11-2012,14902.85,Johan Baumbach,"Aut consectetur quaerat quas.
Ea laudantium ut facilis.",rejected,negligible;Client;other;delegation
 BP Biznes,B56381,11/04/2012,10/27/2012,10908.11,Macie Johnson,"Velit voluptates consequuntur qui ipsa sunt id soluta.
Quia officiis ad quam maxime.
Fugit itaque labore.
Iure quisquam nam est sed.",rejected,Internal;delegation;Important;Negligible;client
ACME,A1471,2013-09-02,2013-08-30,12085.2,Domenica Schinner I,At qui expedita et sit vero adipisci.,rejected,Internal;negligible;Important;delegation;client
 Microsoft,M66310,11/15/2012,11/07/2012,16113.87,Kayleigh Lueilwitz,Nam doloremque inventore reiciendis.,accepted,Negligible;Delegation;internal
 KT Koty,K17525,2014-10-29,2014-10-28,19320.64,Camryn Huels,"Est sed quas deserunt.
Similique facere velit aut.
Repellendus mollitia beatae ducimus consectetur ea.",other,Internal;negligible
Microsoft,M56034,12/16/2012,12/16/2012,18770.90,Dr. Vernie Labadie,"Eaque occaecati similique adipisci dolores.
Laboriosam magnam quas voluptas accusamus enim aliquid fugiat.
Vitae modi voluptatem voluptas voluptas aut.
Autem quis necessitatibus expedita doloribus.",rejected,""
 SB Komputery,S64619,10-05-2013,04-05-2013,13031.86,Leonardo Ryan II,Repellendus ea necessitatibus.,other,negligible;delegation;client;internal
Ostrzy Entertainment,O6870,12/01/2013,11/25/2013,12875.60,Rex Lowe,"Itaque molestias voluptatibus corrupti ipsam exercitationem.
Officiis sequi enim non.
Dolorem beatae consectetur.",other,internal
 ACME,A8336,02/28/2015,02/21/2015,10810.49,Lucious Lockman,Autem exercitationem perferendis dolor ipsum voluptatem.,accepted,internal;other;Negligible;delegation;important
TT Internet,T36351,03/11/2015,03/09/2015,10768.82,Kendall Schmeler,Architecto eveniet aut ut quo blanditiis velit aut.,rejected,Internal;Client;delegation;other;negligible
 Company X,C13592,04-05-2013,29-04-2013,10743.3,Vaughn Nicolas Sr.,"Quia non distinctio temporibus fuga quisquam et.
Et cum odio eos laborum quibusdam quod.",other,""
 Microsoft,M40658,31-07-2014,28-07-2014,12832.33,Colleen Schiller Jr.,Provident doloremque consequatur.,accepted,client;negligible;internal
BP Biznes,B22812,2013-06-19,2013-06-19,18735.62,Vivien Larkin,"Totam sint architecto ipsam aut.
Aut ut molestiae et laboriosam omnis.
Dolor odit quae repellat consequatur corporis.",accepted,important;negligible
ACME,A33804,17-06-2013,16-06-2013,12151.56,Richard Ledner I,Quibusdam dicta quo facere omnis minima modi qui.,other,important;internal;negligible
Ostrzy Entertainment,O51761,12-04-2014,09-04-2014,19866.28,Ivy Hoeger,"Laboriosam quas magni qui excepturi.
Sit corporis et incidunt rerum reprehenderit modi.
Qui totam ea pariatur autem voluptatibus quod est.
Placeat voluptas et ipsum.",other,Other
 Comcast,C63346,07/08/2014,07/01/2014,17052.81,Andres Nikolaus,Quo quasi nam.,rejected,""
 ACME,A55997,24-02-2015,17-02-2015,14869.80,Jeramy Veum I,Velit placeat qui libero qui est qui quisquam.,accepted,other
TT Internet,T36830,2015-03-28,2015-03-28,10267.40,Casimir McKenzie,"Dolor ut ipsa.
Et veritatis nisi voluptate pariatur.",other,internal;delegation;negligible
 BP Biznes,B23210,2013-03-08,2013-03-05,18499.28,Ben Roberts,"Aut natus commodi ut similique aut.
Non maxime ducimus sint est nam.
Ut voluptatem pariatur dicta atque repellendus quidem.",accepted,client;negligible;Internal
Wesoła Gżegżółka,W9997,10/30/2013,10/22/2013,18620.4,Amya Paucek,Sapiente earum odio necessitatibus.,other,delegation;internal;client;other;Negligible
MS Szpadel,M92200,2013-11-19,2013-11-19,11294.27,Miss Anastasia Cremin,Est numquam aspernatur esse similique consectetur.,rejected,Delegation;internal;important;other;client
 Company X,C31143,2012-12-30,2012-12-23,16963.34,Presley Runolfsdottir V,Quis quidem ut molestiae velit aperiam.,accepted,Other;delegation;negligible;client;internal
 ACME,A23271,05/21/2015,05/20/2015,18961.11,Fabiola Fritsch,Autem reprehenderit voluptatem eos facilis.,other,important;internal
 Microsoft,M87656,10/15/2014,10/14/2014,10640.8,Mrs. Jose Farrell,"Placeat iure culpa consequatur fuga illo cupiditate repellendus.
Dolorem rerum culpa quo eius est est nobis.
Earum vitae dolorem itaque molestias dolores minus.
Voluptatibus ullam et praesentium quia odio soluta.",accepted,other;important;Delegation
ACME,A90079,11/10/2014,11/05/2014,13981.34,Mollie Lehner DDS,At et rem.,other,other;delegation
ACME,A92851,11-08-2014,04-08-2014,15653.46,Berneice Ullrich,Libero aut vel numquam ut est quis.,accepted,delegation;Other;Internal
TT Internet,T31283,2014-05-09,2014-05-03,16284.16,Lorenza Beatty,"Odit debitis quaerat quia voluptatem qui.
Quia dignissimos ipsum odit sit a tenetur.
Quasi cum cumque porro omnis.
Similique non voluptatibus debitis rerum qui.",other,Other;client;delegation
MS Szpadel,M35756,2015-01-27,2015-01-26,11905.38,Federico Feest,"Aut voluptas reiciendis necessitatibus modi facilis et.
A fugiat expedita.
Eum et tenetur ea nobis.
Quaerat officia commodi dicta beatae nobis dolores.",other,negligible;other;Internal;Important;Client
Company X,C11431,2013-10-05,2013-10-05,14570.46,Marcelle Feil,"Possimus sequi eum tenetur.
Occaecati ut ut.
Qui enim voluptate.
Suscipit et atque saepe asperiores molestiae voluptas.",rejected,important;internal
 Ostrzy Entertainment,O6852,11/21/2014,11/20/2014,16349.42,Kayley Goldner,Ratione ab facere.,rejected,Other;internal;important;client;negligible
BP Biznes,B34240,14-10-2013,10-10-2013,13194.68,Alvina Jacobson,Libero necessitatibus fugit porro labore vitae.,accepted,negligible
 Big Company 1,B13492,03-01-2014,28-12-2013,12522.4,Ervin Glover,Ipsum et dicta neque deleniti.,rejected,delegation;internal;Client;negligible;Other
 Ostrzy Entertainment,O86729,18-10-2012,17-10-2012,11011.94,Miss Aaliyah Halvorson,Debitis dolorem fugit recusandae.,rejected,client;other;Negligible
 TT Internet,T91153,2014-02-16,2014-02-11,10710.10,Mr. Tyrell Shanahan,Fugiat vero nostrum consequatur quia sequi.,other,Internal;important;delegation
 KT Koty,K39054,06/30/2014,06/21/2014,19976.31,Miss Ansel Harber,Nihil nostrum ducimus inventore mollitia iusto velit voluptatem.,rejected,Internal;Negligible;other
MS Szpadel,M25988,11/25/2012,11/17/2012,12411.23,Giovanna Lakin,Ratione officia nesciunt sit assumenda dicta suscipit rerum.,rejected,negligible;delegation;important
 ACME,A45319,02/05/2013,02/01/2013,10211.97,Garth Gleason,Perspiciatis alias nulla dolorum optio.,accepted,internal;important;Client;negligible
Wesoła Gżegżółka,W45682,10-08-2013,02-08-2013,19601.40,Muhammad Tillman,Quod deserunt quaerat ab.,rejected,other;internal;client;delegation;important
 MS Szpadel,M23452,01/08/2014,01/08/2014,15824.54,Cordie Marvin,Consequuntur consequatur totam ratione aperiam excepturi et rerum.,accepted,client;delegation
"Monterail, Inc.",M61088,01/13/2015,01/08/2015,12906.12,Mrs. Blair Runolfsdottir,Ut autem officiis numquam ipsa exercitationem labore architecto.,accepted,""
 Microsoft,M86305,2013-12-26,2013-12-18,14255.52,Fritz Brakus,Ducimus perferendis vel.,other,Other;delegation;important;internal;client
 Microsoft,M61779,2014-08-29,2014-08-21,18146.85,Carolanne Walsh,Occaecati expedita molestiae atque non.,accepted,""
Wesoła Gżegżółka,W58848,2012-10-28,2012-10-28,12939.72,Earnestine Lesch,"Quos ipsum vel.
Praesentium eius ipsam consequatur.
Qui architecto tempore et molestiae vel.
Minima ipsam quae vel itaque neque ab.",other,other;important;internal;client;negligible
Ostrzy Entertainment,O59924,10-07-2013,09-07-2013,13918.24,Tom Cruickshank,Beatae eius non ab facilis.,rejected,important;negligible;Other
 KT Koty,K33543,08-11-2013,07-11-2013,10944.65,Phoebe Graham II,Doloremque quo in consequatur magnam ut expedita et.,other,client;important;internal
 KT Koty,K79459,11/24/2013,11/16/2013,10161.62,Dylan Schiller,"Veniam aut ab ut autem dolore rerum.
Expedita aut quisquam dolorem.
Est odio non dolorem et modi dolores.
Non impedit ipsum eum ipsam nam repellat.",accepted,""
 Big Company 1,B69949,2014-07-31,2014-07-29,17086.27,Tracy Hessel,"Quis vel perspiciatis.
Repellendus quia sequi.
Ut quas voluptas nobis id magnam.
Ipsum sed minima amet dignissimos.",other,internal
TT Internet,T2793,04-01-2013,30-12-2012,15396.47,Joelle Jakubowski IV,Vitae est iusto vero quis possimus.,accepted,Other;negligible;client
MS Szpadel,M23208,06/27/2014,06/18/2014,10960.90,Elmo Kovacek,Dolorum dolores et molestias sit aut blanditiis.,rejected,Delegation;client;other;Important
 Big Company 1,B80213,08/19/2014,08/17/2014,14750.7,Abdiel Johnson,"Ab tenetur a.
Maiores quam vero sunt omnis atque in odit.
Quia nemo voluptatem.
Ut accusamus et.",other,delegation;other;internal;client
KT Koty,K80536,21-11-2013,19-11-2013,12795.82,Lolita Lowe,Repellendus quaerat suscipit pariatur quisquam velit.,rejected,""
 KT Koty,K56153,12/30/2012,12/22/2012,13162.28,Albin Cruickshank MD,Et itaque qui non voluptatem dolor.,accepted,negligible;client;important
Company X,C88310,10/27/2014,10/27/2014,16393.53,Winfield Weimann,Sint debitis laboriosam quos nesciunt corrupti.,rejected,client;internal;other;Delegation;important
 Company X,C41876,2014-02-05,2014-02-02,10743.18,Monte Emard,Corrupti eligendi reiciendis quia ratione.,rejected,Delegation;negligible
BP Biznes,B1500,02-06-2013,02-06-2013,12149.47,Bailee Friesen,"Omnis sint qui recusandae.
Labore consequuntur praesentium vero quae.
Consequatur eum iusto ex ratione placeat quis ipsam.
Totam est eaque qui corrupti aliquid autem.",other,delegation;other
 Microsoft,M32725,03/20/2014,03/15/2014,18459.38,Cecil Luettgen,Excepturi velit animi ratione temporibus blanditiis rerum repellendus.,accepted,important;internal;Other;negligible;client
Comcast,C47640,13-02-2013,10-02-2013,15984.82,Erna McClure,Dolorum ut enim aliquam.,other,""
ACME,A95644,2015-04-29,2015-04-21,12818.11,Raheem Wisozk,Accusantium ut atque.,rejected,client
 Ostrzy Entertainment,O82766,2015-01-10,2015-01-10,18815.76,Myrna Kohler,Maxime quia rerum.,rejected,""
ACME,A38716,2013-01-13,2013-01-09,14960.39,Mr. Harvey Kohler,"Cum maiores consequatur molestiae similique dignissimos porro atque.
Ut reprehenderit et quae reiciendis sint quidem.
Corporis optio eos commodi eius qui alias.
Velit qui et rerum reiciendis aut amet perspiciatis.",accepted,""
 KT Koty,K66371,12-03-2014,06-03-2014,12179.25,Mariane Graham,"Harum molestias facere tempora dolorum.
Ut quaerat qui magni illum itaque enim in.
Aut repellat quisquam laboriosam.",other,client;delegation;internal;important
 ACME,A35772,2013-01-15,2013-01-08,16420.21,Nelda Morar,"Saepe ducimus doloremque aut.
Aliquam voluptatem culpa odit ut vitae incidunt.
Porro laboriosam quisquam vel laudantium animi.",other,negligible
" Monterail, Inc.",M25677,14-02-2013,06-02-2013,13726.9,Vita Cartwright,Omnis exercitationem magnam iste ipsa unde id.,other,Other
 Comcast,C49423,18-04-2013,14-04-2013,12422.51,Ike Roberts,Ut modi est corrupti sed dolore odit.,accepted,internal;Important;Client;other;negligible
" Monterail, Inc.",M42080,23-01-2014,17-01-2014,12784.92,Anabelle Schamberger V,Eveniet sunt ad mollitia.,accepted,Internal;client;other;delegation
 Microsoft,M4810,2015-03-08,2015-03-02,16602.61,Megane Stokes,Deleniti dolorem libero quis.,rejected,other;Internal
 MS Szpadel,M27207,28-07-2014,25-07-2014,14663.6,Savanna Ullrich,Necessitatibus ut aliquid enim.,rejected,""
 BP Biznes,B59675,23-01-2013,20-01-2013,18940.3,Cyril Gislason,"Est enim aut qui sint asperiores blanditiis.
Id quia laboriosam quia voluptates non.",accepted,delegation;Other;Internal
BP Biznes,B48804,17-01-2015,12-01-2015,18239.36,Abelardo Mante,Distinctio necessitatibus id ullam est molestiae.,rejected,delegation;client;important
 TT Internet,T26020,2013-07-04,2013-07-03,17937.63,Bradford Moore Sr.,Sunt voluptas sit.,rejected,negligible;delegation;client;Other;Internal
Company X,C74757,2014-05-03,2014-05-01,10183.31,Elfrieda Keeling,Repudiandae in hic asperiores.,other,Important
 ACME,A71268,04-03-2014,02-03-2014,13884.5,Mr. Marguerite Schneider,Aspernatur blanditiis dignissimos perferendis deleniti consectetur.,rejected,Internal;important;Client;delegation;other
 Comcast,C84024,03/06/2015,02/27/2015,12046.89,Mrs. Corbin Lindgren,Aut asperiores molestias.,rejected,""
ACME,A56135,15-10-2014,08-10-2014,12505.9,Dr. Jonatan Block,"Vitae animi iusto dignissimos a repudiandae nemo.
Assumenda asperiores vero tempora accusamus unde.
Natus tenetur sequi quasi architecto ea.
Illo repellat et est nulla quo laudantium voluptate.",accepted,delegation
 MS Szpadel,M38644,11/02/2012,10/25/2012,11220.72,Jamie Gottlieb,Pariatur non quos.,rejected,""
 MS Szpadel,M41813,21-04-2013,14-04-2013,10937.96,Chaz Emmerich V,Omnis itaque et omnis odio.,other,Internal;other;client;important;negligible
TT Internet,T44784,27-10-2013,23-10-2013,12461.91,Miss Berenice Pagac,Et dolorum eveniet earum a.,rejected,negligible;Other;Important
 Microsoft,M3249,2014-07-20,2014-07-19,11031.29,Emelia Weissnat,Commodi perferendis voluptas illum.,rejected,important;Negligible;internal;client
 Company X,C25515,08-09-2012,02-09-2012,14236.48,Miss Tyson Buckridge,Nihil modi deleniti iste.,rejected,""
 Company X,C6137,18-06-2014,16-06-2014,13285.30,Miss Gudrun Klocko,"Architecto veritatis nobis.
Officiis tempore eum velit debitis incidunt asperiores.
Tenetur ut iure sequi a.",accepted,""
 SB Komputery,S35024,24-06-2013,22-06-2013,10366.51,Andrew Rogahn,Nihil dicta nihil.,other,""
 Ostrzy Entertainment,O64053,2015-01-20,2015-01-19,16886.68,Sonya Hansen I,"Modi exercitationem vero dolore.
Aliquid ad et.
Adipisci reiciendis optio iusto.",other,other;Client;Internal;negligible
"Monterail, Inc.",M72156,03/12/2014,03/08/2014,12128.40,Lysanne Romaguera,Laudantium voluptatibus totam.,other,""
MS Szpadel,M79610,08/15/2013,08/07/2013,11739.24,Alvina Howe,Itaque corporis omnis libero.,accepted,Negligible;delegation
 ACME,A3881,08-12-2013,01-12-2013,16080.75,Gertrude Nader IV,Tenetur repellat amet qui.,rejected,""
TT Internet,T21685,08/14/2013,08/09/2013,11094.11,Dylan Schuster DDS,Quis sunt pariatur officiis aut quam.,accepted,negligible;internal
 BP Biznes,B62087,2013-07-12,2013-07-10,19044.46,Jerome Reinger,Voluptate eos esse et occaecati adipisci.,accepted,negligible
TT Internet,T21399,2014-07-20,2014-07-14,11921.51,Percy Stiedemann,Delectus veniam nostrum eius quo quisquam neque.,accepted,important;other;client;Negligible;internal
Big Company 1,B96299,26-02-2015,25-02-2015,18008.16,Blaze Jenkins MD,Placeat nesciunt mollitia minus harum.,accepted,important;internal;client;other
 Comcast,C32836,2015-02-11,2015-02-11,19523.13,Rosalind Schulist,Beatae error dolor itaque ipsa eligendi qui dolorem.,rejected,delegation;important;internal
Wesoła Gżegżółka,W44822,09/10/2012,09/01/2012,10278.26,Eliane Weber,"Iste ab sed quasi optio beatae.
Et eius id facilis est molestiae perspiciatis adipisci.",other,Important
 Comcast,C301,2013-08-28,2013-08-26,18769.2,Adam Metz,"Nostrum rerum ipsa et consequatur tenetur et.
Eum laudantium in officiis maiores.
Saepe vero doloribus.",other,""
MS Szpadel,M97507,01-06-2013,30-05-2013,15056.84,Elijah Harvey,Dolor ut in.,rejected,""
 KT Koty,K37744,2014-08-29,2014-08-24,13323.50,Dr. Tierra Schmeler,Quo ipsa nulla exercitationem illo culpa.,other,negligible;client;important;delegation;other
 Wesoła Gżegżółka,W37601,10-03-2015,05-03-2015,16177.41,Miss Mekhi Pacocha,Sit maxime quo.,rejected,Other;important;internal;negligible
 KT Koty,K63560,04/17/2014,04/09/2014,12071.32,Lonnie Volkman Jr.,Aut earum enim.,accepted,Other;delegation;Important
 Comcast,C7140,14-04-2015,12-04-2015,15667.56,Mrs. Trace Schroeder,"Labore laborum dolore officia voluptas.
A qui aspernatur fuga et excepturi recusandae et.
Odit ipsam voluptatibus numquam assumenda voluptas necessitatibus quae.",other,Client;internal;negligible;other;important
 SB Komputery,S77840,08/24/2013,08/15/2013,10584.34,Camryn White MD,"Est ea maiores totam.
Voluptatem nihil sequi qui magni.",other,other;delegation
" Monterail, Inc.",M5931,28-09-2012,26-09-2012,14103.67,Laron Cruickshank,Accusamus accusantium ab.,accepted,internal;client
 Wesoła Gżegżółka,W14028,07/15/2014,07/13/2014,14893.2,Katharina Hermann,Similique optio velit quia voluptatibus aspernatur qui.,accepted,""
 Comcast,C36595,11-02-2013,07-02-2013,19246.16,Raegan Berge,"Mollitia iure ullam quidem dolores assumenda quis ea.
Iure expedita in atque beatae.
Occaecati consequatur sequi amet.
Dolorum id consectetur aut.",rejected,Internal
 SB Komputery,S45270,13-03-2014,08-03-2014,18831.86,Madisen Torphy,"Sapiente beatae et voluptatem neque debitis sed.
Perferendis maiores fuga.
Quibusdam voluptatem ut ullam vero ducimus.",rejected,other;negligible
" Monterail, Inc.",M58214,10-09-2012,02-09-2012,17449.0,Ellsworth Johnston,Quas expedita porro aut non eos ipsa.,other,important;Delegation;internal
Wesoła Gżegżółka,W53772,2014-07-30,2014-07-26,12804.16,Bennett Haag,"Neque ut suscipit.
Earum autem voluptates omnis non ipsa.
Eos omnis iure rem quia.",other,""
 KT Koty,K2564,02-02-2013,28-01-2013,11110.69,Christ Krajcik,Sint voluptatum officia sit quia fuga.,accepted,""
 KT Koty,K11468,01/17/2015,01/15/2015,18352.70,Emmie Fadel,"Temporibus accusantium nisi ea.
Cumque sapiente earum molestiae expedita eos minima.",other,""
 ACME,A45326,19-06-2014,14-06-2014,15003.2,Romaine Glover,Inventore aliquid suscipit sit.,accepted,negligible;Internal;client;Other;Delegation
